Year,Month,gear_type,GEAR_NME,COMMON_NME,Weight(LBS),Weight(kg),Value($)
2012,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,129443,58714.99,47888.53
2012,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2260286,1025258.95,1158372.84
2012,10,seine,"SEINE, PURSE, SALMON",PINK SALMON,345,156.47,123.89
2012,11,seine,"SEINE, PURSE, SALMON",CHUM SALMON,604158,274044.25,339552.89
2013,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,535040,242692.53,337729.13
2013,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,53077.44,24075.81,45061.48
2013,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,14773228,6701092.32,4741968.07
2013,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,96056,43570.72,243740.81
2013,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1019227,462318.38,616758.99
2013,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,278854,126487.36,242014.45
2013,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,12292030,5575628.25,3915730.07
2013,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,76527,34712.42,191317.5
2013,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,314056.8,142455.24,209268.21
2013,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,3102,1407.05,2491.4
2013,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,2016617.71,914731.76,552071.9
2013,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1259055,571103.6,895454.8
2013,10,seine,"SEINE, PURSE, SALMON",PINK SALMON,89560,40624.13,43439.6
2014,6,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,78692,35694.47,124416.45
2014,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,219535,99580.46,177922.38
2014,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,54624,24777.33,44223.3
2014,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,5879980,2667141.41,1944384.33
2014,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,1025099.3,464981.99,1514363.32
2014,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,245.6,111.39,539.53
2014,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,548198,248660.9,537759.37
2014,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,74282.26,33694.15,59400.92
2014,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,5504748,2496937.32,1642354.97
2014,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,13015378,5903736.77,18668968.82
2014,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,947633.92,429843.89,768353.4
2014,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,56830,25777.91,47627.67
2014,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,322956.2,146491.95,101343.66
2014,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,11131833.5,5049366.5,16373775.59
2014,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,2268760,1029102.8,2165050.88
2014,10,seine,"SEINE, PURSE, SALMON",COHO SALMON,236,107.05,221.17
2014,10,seine,"SEINE, PURSE, SALMON",PINK SALMON,61393,27847.67,67420.67
2015,6,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,186488.56,84590.67,357967.68
2015,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,462168,209638.02,261334.05
2015,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,12015,5449.96,5926.75
2015,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,556361,252363.69,129342.8
2015,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,565799.33,256644.86,943785.06
2015,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,788940,357860.86,438073.95
2015,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,3807,1726.84,1968.95
2015,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,916411,415681.31,235837.05
